11689;10994832;№ подвал-43в
11744;11541875;ПОДВАЛ 48б 7 полка
11775;10950647;Подвал-42в
11899;11527046;подвал-48В
11906;10922781;№ подвал-43б
11907;11316237;Подвал-46а
11913;11174226;Подвал-42в
11918;;2318-28
11919;11173038;Подвал-42в
11926;10906019;№ подвал-43а
11931;;2318-28
11932;;2318-28
11934;;2318-27
11937;;2318-28
11938;;2318-27
11939;;2318-28
11940;;2318-28
11941;;2318-28
11942;;2318-28
11945;11171607;Подвал-51
11950;;2318-19
11951;10902165;№ подвал-43а
11953;;2318-28
11954;11171331;Подвал-51
11955;11171348;Подвал-51
11956;;2318-28
11957;10926871;№ подвал-43а
11958;10928301;№ подвал-43а
11959;;2318-28
11960;11156604;Подвал-51
11961;10927298;№ подвал-43а
11962;10927328;№ подвал-43а
11963;10927304;№ подвал-43а
11964;10927311;№ подвал-43а
11966;10927342;№ подвал-43а
11967;11172338;Подвал-51
11968;10923658;№ подвал-43б
11969;11156550;Подвал-51
11983;;2318-20
11984;;2318-28
11984;;Прочие СА
11985;;2318-28
11986;;2318-28
11987;;2318-20
11988;10297186;Подвал-50
11989;;2318-28
11990;10920183;№ подвал-43б
11991;11153924;Подвал-51
11992;;2318-28
11993;;2318-27
11994;;2318-27
11995;10990094;№ подвал-43б
11999;10821480;Подвал-41а
12000;;2318-28
12002;;2318-28
12003;;2318-28
12004;;2318-28
12006;;2318-28
12007;;2318-28
12008;10982525;№ подвал-43в
12009;11150800;№ Подвал 52
12010;;2318-28
12011;;2318-28
12013;;2318-20
12035;;2318-28
12036;10998373;№ подвал-43в
12044;11340775;ПОДВАЛ 48а 2 полка
12053;11171560;Подвал-51
12057;;2318-19
12062;10301401;Подвал-бортик вдоль окон
12077;;2318-27
12078;10889138;подвал-21б
12080;10889190;подвал-21б
12081;;2318-19
12084;11224235;Подвал-54
12085;11224242;Подвал-54
12086;;2318-27
12087;;2318-27
12090;;2318-19
12091;10888674;подвал-21б
12092;10888667;подвал-21б
12093;;2318-27
12097;;2318-19
12099;10248225;2318-32
12102;11224143;Подвал-54
12103;10898123;подвал-21б
12104;;2318-19
12105;;2318-19
12111;;2318-19
12116;11223863;Подвал-54
12118;;2318-27
12119;;2318-27
12120;;2318-27
12125;;2318-19
12128;;2318-27
12129;11306658;подвал 45в
12130;11301028;Подвал-46а
12131;;2318-27
12132;;2318-19
12135;;2318-27
12136;11097549;Подвал-55
12137;10897966;подвал-21б
12138;;2318-27
12139;10894088;подвал 21а
12141;;2318-19
12142;;2318-19
12226;10658369;2318-47
12308;;2318-19
12381;;2318-18
12387;;2318-18
12390;;2318-18
12391;;2318-25
12392;;2318-18
12394;;2318-26
12398;;2318-26
12399;;2318-27
12400;;2318-18
12404;;2318-18
12406;;2318-26
12407;;2318-20
12411;;2318-19
12413;;2318-19
12419;11260776;Подвал-7б
12420;;2318-25
12422;;2318-18
12423;;2318-19
12425;;2318-20
12429;;2318-18
12432;;2318-19
12433;;2318-28
12434;;2318-28
12436;;2318-18
12437;;2318-27
12493;;2318-18
12497;;2318-18
12499;;2318-18
12561;;2318-19
12562;;2318-19
12564;;Прочие СА
12567;113124072;Подвал-46а
12570;;2318-20
12571;;Прочие СА
12572;;2318-18
12574;;2318-25
12587;;2318-19
12590;11132103;Подвал-7в
12597;;2318-20
12598;;2318-19
12599;;2318-18
12600;;2318-27
12606;;2318-18
12607;;2318-27
12609;;2318-19
12610;;2318-20
12611;;2318-19
12612;;2318-20
12613;;2318-27
12614;;2318-21
12618;;2318-19
12625;;2318-19
12658;;2318-19
12659;;2318-18
12695;11122999;Подвал-13в
12700;;2318-27
12772;;2318-20
12797;;2318-18
12862;;2318-18
12867;;2318-18
12868;;2318-19
12876;;2318-20
12878;;2318-19
12907;;2318-20
12923;;2318-19
12938;;2318-19
12939;;2318-19
12971;;2318-18
12996;;2318-25
12997;;2318-18
13002;;2318-25
13005;;2318-25
13013;;2318-18
13027;10632680;Подвал-39
13200;;2318-18
13214;;2318-18
13270;11201298;подвал-16 в
13279;11200673;подвал-16 в
13280;11200680;подвал-16 в
13281;11200697;подвал-16 в
13282;;2318-18
13283;;2318-19
13284;;2318-26
13285;;2318-26
13286;;2318-19
13287;;2318-27
13289;11191902;подвал-17в
13292;;2318-26
13293;;2318-19
13294;;2318-26
13295;;2318-27
